Front_X;Front_Y;Front_Z;Back_X;Back_Y;Back_Z;Timestamp;SpeedShip;Latitude;Longitude;Depth;DistToFloor;Heading;Pitch;Roll;M_UP;M_Down;M_Right;M_Left;VertForvUp;VertForvDown;VertBackUp;VertBackDown;GorizForw;GorizBack;Bat1_50_I;Bat2_50_I;Bat3_50_I;Bat4_50_I;Bat1_27_I;Bat2_27_I;Bat3_27_I;Bat4_27_I;SpeedShipEML;EmiErrorFlag
1350;8776;-34534;6448;22548;-34502;1573218676338809;0.322248;0.785874261;0.617694104;3.90404;4.5111;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1374;8760;-34506;6540;22644;-34434;1573218676358935;0.322248;0.785874261;0.617694104;3.90404;4.5111;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1426;8728;-34548;6582;22458;-34446;1573218676378831;0.322248;0.785874261;0.617694104;3.90404;4.5111;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1386;8784;-34522;6604;22492;-34438;1573218676398793;0.322248;0.785874261;0.617694104;3.90404;4.5111;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1324;8808;-34472;6488;22386;-34492;1573218676418784;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1364;8826;-34414;6464;22426;-34494;1573218676438899;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1390;8842;-34486;6512;22172;-34436;1573218676458843;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1428;9022;-34498;6370;21850;-34324;1573218676478805;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1406;9082;-34476;6246;21626;-34244;1573218676498792;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1392;9220;-34446;6054;21554;-34166;1573218676518799;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05102;-0.131165;0.065481;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1546;9344;-34410;5980;21232;-34184;1573218676538802;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1552;9412;-34406;5914;21028;-34226;1573218676558806;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;5.53326;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1626;9512;-34318;5822;20810;-34128;1573218676578874;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1666;9502;-34328;5774;20672;-34008;1573218676598796;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-18.6875;18.4214;-15.6445;102.649;102.787;97.5938;97.6106;-9.72659;9.66065;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1666;9648;-34300;5754;20388;-33972;1573218676618801;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1704;9662;-34240;5644;20078;-34028;1573218676638828;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1688;9798;-34268;5604;20044;-34002;1573218676658928;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1728;9898;-34258;5510;19878;-33916;1573218676678786;0.311136;0.785874261;0.617694104;3.90404;4.39198;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1706;9926;-34058;5392;19756;-33792;1573218676698805;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1778;10044;-34118;5424;19656;-33864;1573218676718793;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1718;10060;-34124;5366;19594;-33886;1573218676738869;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05141;-0.13115;0.0669574;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1732;10210;-34186;5366;19204;-33866;1573218676758876;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1766;10140;-34162;5310;19296;-33730;1573218676778854;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1890;10236;-34048;5226;19186;-33714;1573218676798815;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1830;10312;-34008;5188;19098;-33738;1573218676818810;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1884;10374;-33962;5150;18874;-33780;1573218676838799;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1956;10420;-34000;5122;18934;-33724;1573218676858831;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
1886;10566;-34062;5094;18724;-33640;1573218676878916;0.30558;0.785874261;0.617694104;3.90404;4.39161;6.05169;-0.130935;0.0685424;0.0389862;-31.0983;31.5071;-15.8967;102.582;102.823;97.3414;97.6493;-0.000711563;0.0220148;9.125;11.3906;14.5859;0;1.68;2.27;2.16;0;0;0
