Front_X;Front_Y;Front_Z;Back_X;Back_Y;Back_Z;Timestamp;SpeedShip;Latitude;Longitude;Depth;DistToFloor;Heading;Pitch;Roll;M_UP;M_Down;M_Right;M_Left;VertForvUp;VertForvDown;VertBackUp;VertBackDown;GorizForw;GorizBack;Bat1_50_I;Bat2_50_I;Bat3_50_I;Bat4_50_I;Bat1_27_I;Bat2_27_I;Bat3_27_I;Bat4_27_I;SpeedShipEML;EmiErrorFlag
15206;-4158;-32838;12708;-5576;-31976;1573221654367897;0.186916;0.785870007;0.61770203;0.178496;3.68082;4.62892;-0.0403267;0.0582801;-0.00395105;-0.00166656;0.015929;0.00730913;0.0103801;-0.00514947;-0.00790834;0.0135322;-19.1646;13.0291;1.40625;1.95312;3.0625;0;1.74;2.1;1.96;0;0;0
15238;-4176;-32814;12732;-5546;-31974;1573221654387890;0.186916;0.785870007;0.61770203;0.178496;3.68082;4.62892;-0.0403267;0.0582801;-0.00395105;-0.00166656;0.015929;0.00730913;0.0103801;-0.00514947;-0.00790834;0.0135322;-19.1646;13.0291;1.40625;1.95312;3.0625;0;1.74;2.1;1.96;0;0;0
15238;-4188;-32828;12716;-5568;-32070;1573221654407923;0.186916;0.785870007;0.61770203;0.178496;3.68082;4.62892;-0.0403267;0.0582801;0;0;0;0;0;-0.00514947;-0.00790834;0;-19.1646;13.0291;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15234;-4180;-32844;12716;-5568;-32070;1573221654428036;0.186916;0.785870007;0.61770203;0.178496;3.68047;4.62892;-0.0403267;0.0582801;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15214;-4170;-32824;12792;-5580;-32050;1573221654447915;0.186916;0.785870007;0.61770203;0.178496;3.68047;4.62892;-0.0403267;0.0582801;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15194;-4192;-32818;12704;-5586;-32008;1573221654467932;0.186916;0.785870007;0.61770203;0.178496;3.68047;4.62892;-0.0403267;0.0582801;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15176;-4202;-32830;12738;-5552;-31972;1573221654487907;0.186916;0.785870007;0.61770203;0.15512;3.68047;4.6288;-0.0409752;0.0588229;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15188;-4196;-32796;12758;-5616;-31986;1573221654507918;0.186916;0.785870007;0.61770203;0.15512;3.68047;4.6288;-0.0409752;0.0588229;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15218;-4214;-32858;12750;-5606;-32042;1573221654527923;0.186916;0.785870007;0.61770203;0.15512;3.68047;4.6288;-0.0409752;0.0588229;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
15246;-4226;-32876;12770;-5608;-32094;1573221654547921;0.186916;0.785870007;0.61770203;0.15512;3.68047;4.6288;-0.0409752;0.0588229;0;0;0;0;0;0;0;0;0;0;1.59375;2.01562;1.03125;0;1.74;2.07;1.9;0;0;0
