Front_X;Front_Y;Front_Z;Back_X;Back_Y;Back_Z;Timestamp;SpeedShip;Latitude;Longitude;Depth;DistToFloor;Heading;Pitch;Roll;M_UP;M_Down;M_Right;M_Left;VertForvUp;VertForvDown;VertBackUp;VertBackDown;GorizForw;GorizBack;Bat1_50_I;Bat2_50_I;Bat3_50_I;Bat4_50_I;Bat1_27_I;Bat2_27_I;Bat3_27_I;Bat4_27_I;SpeedShipEML;EmiErrorFlag
1968;13868;-33090;3092;14820;-32528;1573218440052761;0.005556;0.785869267;0.617681912;4.16091;4.67345;6.1626;-0.0497403;0.0677707;-0.00195368;0.000661629;0.00235315;0.00469382;0.00650394;0.0179202;-0.0019724;-0.00119842;0.00702201;0.000511826;1.23438;2.07812;1.03125;0;1.74;2.13;1.99;0;0;0
1970;13808;-33036;3108;14854;-32494;1573218440072762;0.005556;0.785869267;0.617681912;4.16091;4.67345;6.1626;-0.0497403;0.0677707;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.23438;2.07812;1.03125;0;1.74;2.13;1.99;0;0;0
1978;13782;-33052;3096;14858;-32466;1573218440092752;0.005556;0.785869267;0.617681912;4.16091;4.67345;6.1626;-0.0497403;0.0677707;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1982;13782;-33094;3142;14910;-32488;1573218440112773;0.005556;0.785869267;0.617681912;4.16091;4.67345;6.1626;-0.0497403;0.0677707;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1940;13734;-33222;3120;14930;-32536;1573218440132764;0.005556;0.785869267;0.617681912;4.16091;4.67345;6.1626;-0.0497403;0.0677707;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1920;13782;-33214;3114;14942;-32600;1573218440152749;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1876;13694;-33258;3108;14952;-32622;1573218440172758;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1894;13740;-33248;3126;14976;-32558;1573218440192775;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1902;13664;-33276;3126;14976;-32558;1573218440212749;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1888;13732;-33278;3126;14976;-32558;1573218440232737;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1860;13668;-33254;3126;14976;-32558;1573218440252779;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1870;13698;-33280;3126;14976;-32558;1573218440272766;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1874;13634;-33120;3126;15024;-32628;1573218440292745;0.005556;0.785869267;0.617681912;4.1537;4.67345;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1936;13650;-33156;3144;15108;-32660;1573218440312785;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1884;13600;-33268;3158;15246;-32624;1573218440332783;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16302;-0.0506288;0.067183;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1934;13624;-33256;3178;15230;-32616;1573218440352755;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1904;13602;-33232;3148;15304;-32600;1573218440372755;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1856;13578;-33192;3156;15256;-32552;1573218440392817;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1864;13576;-33200;3208;15356;-32544;1573218440412806;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1848;13552;-33180;3252;15376;-32574;1573218440432765;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1858;13568;-33140;3218;15474;-32610;1573218440452813;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1834;13500;-33288;3262;15426;-32612;1573218440472769;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1816;13536;-33272;3246;15472;-32650;1573218440492801;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1836;13454;-33276;3258;15514;-32728;1573218440512761;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1798;13540;-33302;3252;15474;-32736;1573218440532831;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1818;13452;-33296;3252;15626;-32724;1573218440552782;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1806;13490;-33292;3286;15618;-32702;1573218440572806;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-21.2726;-21.1305;-23.039;-22.9224;-6.32991;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1800;13406;-33304;3272;15652;-32616;1573218440592769;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;6.00521;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1804;13438;-33204;3298;15688;-32638;1573218440612850;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1794;13410;-33228;3322;15750;-32656;1573218440632794;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1772;13374;-33218;3314;15834;-32784;1573218440652794;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1752;13360;-33278;3330;15926;-32770;1573218440672781;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1736;13340;-33292;3364;15888;-32652;1573218440692769;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1726;13364;-33216;3350;15864;-32632;1573218440712780;0.005556;0.785869267;0.617681912;4.1537;4.67337;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1714;13298;-33208;3350;16046;-32708;1573218440732915;0.011112;0.785869267;0.617681912;4.1537;4.6731;6.16343;-0.0515616;0.066721;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1720;13312;-33184;3382;16020;-32718;1573218440752768;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1718;13228;-33250;3418;16158;-32810;1573218440772859;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1718;13344;-33254;3444;16120;-32832;1573218440792753;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1720;13262;-33332;3462;16234;-32774;1573218440812796;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1688;13236;-33226;3448;16256;-32772;1573218440832777;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1686;13312;-33190;3490;16366;-32746;1573218440852833;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1678;13198;-33228;3510;16338;-32746;1573218440872756;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1648;13228;-33240;3524;16450;-32762;1573218440892797;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
1644;13178;-33268;3560;16458;-32886;1573218440911764;0.011112;0.785869264;0.617681912;4.17545;4.6731;6.1638;-0.0526628;0.0665251;13.4773;12.6708;-15.1586;-13.6437;-27.982;-39.6181;-23.039;-22.9224;-0.00297733;0.00160414;1.59375;2.14844;1.13281;0;1.68;2.07;2.08;0;0;0
